CPUID:,0xA50F00
Processor:,AMD Ryzen 7 5800H
Platform:,Socket FP6 (BGA 1140)
Revision:,CZN-A0
Lithography:,7 nm

* Values should be divided by 1000
Session start:,00:04:36 - December 17 - 2025

Time,Cur. CPU #0 Tdie #0,Min. CPU #0 Tdie #0,Max. CPU #0 Tdie #0,Avg. CPU #0 Tdie #0,Cur. CPU #0 Core #0,Min. CPU #0 Core #0,Max. CPU #0 Core #0,Avg. CPU #0 Core #0,Cur. CPU #0 Core #1,Min. CPU #0 Core #1,Max. CPU #0 Core #1,Avg. CPU #0 Core #1,Cur. CPU #0 Core #2,Min. CPU #0 Core #2,Max. CPU #0 Core #2,Avg. CPU #0 Core #2,Cur. CPU #0 Core #3,Min. CPU #0 Core #3,Max. CPU #0 Core #3,Avg. CPU #0 Core #3,Cur. CPU #0 Core #4,Min. CPU #0 Core #4,Max. CPU #0 Core #4,Avg. CPU #0 Core #4,Cur. CPU #0 Core #5,Min. CPU #0 Core #5,Max. CPU #0 Core #5,Avg. CPU #0 Core #5,Cur. CPU #0 Core #6,Min. CPU #0 Core #6,Max. CPU #0 Core #6,Avg. CPU #0 Core #6,Cur. CPU #0 Core #7,Min. CPU #0 Core #7,Max. CPU #0 Core #7,Avg. CPU #0 Core #7,CPU #0 Core #0 Load,CPU #0 Core #0 Frequency,CPU #0 Core #1 Load,CPU #0 Core #1 Frequency,CPU #0 Core #2 Load,CPU #0 Core #2 Frequency,CPU #0 Core #3 Load,CPU #0 Core #3 Frequency,CPU #0 Core #4 Load,CPU #0 Core #4 Frequency,CPU #0 Core #5 Load,CPU #0 Core #5 Frequency,CPU #0 Core #6 Load,CPU #0 Core #6 Frequency,CPU #0 Core #7 Load,CPU #0 Core #7 Frequency,CPU #0 Package,CPU #0 Core #0,CPU #0 Core #1,CPU #0 Core #2,CPU #0 Core #3,CPU #0 Core #4,CPU #0 Core #5,CPU #0 Core #6,CPU #0 Core #7,
00:27:06 12/17/25,56750,44000,92625,53572,47104,40980,81076,47995,47423,41965,92007,49471,47163,41030,81224,47794,47374,41442,86951,48484,47085,40920,78570,47277,47351,41317,83218,48212,47006,40892,74349,47021,47323,41369,79594,47667,522,1976252,472,1646876,250,2335571,3625,2335571,2843,2335571,1281,2335571,1281,2919463,1281,2335571,5383,143,109,67,150,105,161,59,102,
00:27:16 12/17/25,54125,44000,92625,53579,48905,40980,81076,47994,49944,41965,92007,49465,49019,41030,81224,47795,49394,41442,86951,48484,49410,40920,78570,47281,49125,41317,83218,48211,48443,40892,74349,47025,48679,41369,79594,47669,5239,2919463,1439,2919463,1464,2335571,677,2919463,0,2919463,0,2919463,622,2335571,622,2335571,8147,392,395,366,310,543,325,254,213,
00:27:26 12/17/25,55000,44000,92625,53596,48081,40980,81076,48003,49057,41965,92007,49476,47945,41030,81224,47805,48469,41442,86951,48495,47659,40920,78570,47293,48275,41317,83218,48221,47548,40892,74349,47036,48116,41369,79594,47680,2976,4042334,0,4042334,1400,4042334,3787,4042334,0,4042334,0,4042334,637,4042334,637,4042334,8412,343,308,280,220,142,227,179,208,
00:27:36 12/17/25,52250,44000,92625,53596,45057,40980,81076,47994,47021,41965,92007,49466,45146,41030,81224,47797,46392,41442,86951,48488,45087,40920,78570,47288,45839,41317,83218,48213,45015,40892,74349,47031,45687,41369,79594,47674,964,2335571,990,2335571,2533,2919463,2533,2919463,990,2919463,1761,2335571,2532,2335571,1761,2335571,4450,106,255,94,277,131,163,96,118,
00:27:46 12/17/25,50375,44000,92625,53579,44633,40980,81076,47970,45451,41965,92007,49439,44730,41030,81224,47776,45979,41442,86951,48466,44526,40920,78570,47269,45061,41317,83218,48192,44439,40892,74349,47014,45004,41369,79594,47656,179,2335571,89,2919463,89,2335571,1723,2335571,1723,2335571,179,2335571,951,2335571,179,2335571,4294,145,114,113,458,90,162,57,132,
00:27:56 12/17/25,71250,44000,92625,53612,53694,40980,81076,47982,60415,41965,92007,49445,56368,41030,81224,47783,57132,41442,86951,48482,59807,40920,78570,47293,56577,41317,83218,48209,70884,40892,74349,47047,55020,41369,79594,47670,12882,4042334,8230,4042334,5128,3233867,21411,3233867,6679,3233867,29940,4042334,7455,3233867,12882,4042334,32399,564,1606,1502,907,2289,1193,7408,734,
00:28:06 12/17/25,80375,44000,92625,53806,64490,40980,81076,48055,68163,41965,92007,49566,61958,41030,81224,47850,60901,41442,86951,48573,58710,40920,78570,47363,57760,41317,83218,48299,63205,40892,74349,47116,57988,41369,79594,47752,2882,4042334,3362,4042334,4419,3233867,1344,3233867,630,3233867,2886,3233867,13646,4042334,290,4042334,21499,2698,2361,2029,952,869,489,4485,1077,
00:28:16 12/17/25,74875,44000,92625,53970,56195,40980,81076,48116,61383,41965,92007,49643,57728,41030,81224,47917,61635,41442,86951,48657,63556,40920,78570,47444,62576,41317,83218,48381,56675,40892,74349,47185,57953,41369,79594,47833,2402,3233867,2402,3233867,2402,3233867,6311,3233867,5490,3233867,11669,4042334,3173,3233867,2400,4042334,16467,601,808,736,1269,4450,2271,958,601,
00:28:26 12/17/25,69500,44000,92625,54090,53808,40980,81076,48156,57261,41965,92007,49689,53851,41030,81224,47963,56411,41442,86951,48711,55121,40920,78570,47516,55247,41317,83218,48449,51878,40892,74349,47236,53713,41369,79594,47883,2246,3233867,1472,4042334,3019,3233867,736,4042334,6114,3233867,1498,3233867,762,3233867,3071,4042334,17803,922,900,833,1173,1921,929,504,632,
00:28:36 12/17/25,67125,44000,92625,54183,52165,40980,81076,48191,55534,41965,92007,49726,52318,41030,81224,47997,55424,41442,86951,48756,56149,40920,78570,47568,55354,41317,83218,48500,52766,40892,74349,47269,55547,41369,79594,47933,2930,3233867,1381,3233867,1465,3233867,690,3233867,4479,3233867,5253,3233867,3704,4042334,5253,3233867,17604,629,720,361,926,2651,994,1089,1454,
00:28:46 12/17/25,71625,44000,92625,54301,56963,40980,81076,48260,58041,41965,92007,49787,53309,41030,81224,48039,55209,41442,86951,48807,52714,40920,78570,47608,54109,41317,83218,48555,51990,40892,74349,47308,55160,41369,79594,47997,40046,4042334,8642,3233867,2387,3233867,1627,3233867,58,3233867,1627,3233867,842,4042334,3196,4042334,26473,2323,1138,722,724,1055,546,1065,1399,
00:28:56 12/17/25,72000,44000,92625,54441,56759,40980,81076,48346,58495,41965,92007,49858,58943,41030,81224,48098,59286,41442,86951,48870,53294,40920,78570,47643,57274,41317,83218,48610,51386,40892,74349,47341,59646,41369,79594,48083,1295,4042334,7310,4042334,487,4042334,8083,3233867,0,3233867,37309,4042334,11243,4042334,16006,3233867,27304,1393,735,2786,1759,651,928,482,2778,
00:29:06 12/17/25,76250,44000,92625,54576,59160,40980,81076,48393,61147,41965,92007,49933,55050,41030,81224,48136,59805,41442,86951,48942,55796,40920,78570,47681,61715,41317,83218,48697,64378,40892,74349,47388,60991,41369,79594,48165,437,4042334,5544,3233867,0,3233867,3209,3233867,437,3233867,49130,4042334,437,4042334,849,3233867,25261,2467,1032,482,949,673,2265,5171,2308,
00:29:16 12/17/25,83000,44000,92625,54743,68061,40980,81076,48472,62986,41965,92007,50033,59313,41030,81224,48210,60435,41442,86951,49021,67092,40920,78570,47744,59881,41317,83218,48780,60607,40892,74349,47467,57893,41369,79594,48245,875,4042334,14105,4042334,6662,4042334,2428,4042334,0,4042334,5592,3233867,13372,4042334,4814,3233867,22456,4145,1374,736,1111,4732,1541,3222,1219,
00:29:26 12/17/25,72375,44000,92625,54892,52475,40980,81076,48502,53270,41965,92007,50094,51476,41030,81224,48239,51740,41442,86951,49069,52078,40920,78570,47773,50813,41317,83218,48818,56065,40892,74349,47513,51586,41369,79594,48295,2308,4042334,3843,3233867,801,3233867,1947,4042334,1594,4042334,828,4042334,5428,4042334,3128,4042334,16927,1132,495,684,213,758,123,3741,575,
00:29:36 12/17/25,72125,44000,92625,54996,56282,40980,81076,48546,61692,41965,92007,50164,53865,41030,81224,48277,59059,41442,86951,49130,53810,40920,78570,47816,60004,41317,83218,48867,55611,40892,74349,47563,57590,41369,79594,48347,4015,3233867,11706,3233867,2417,3233867,1645,3233867,1645,4042334,6231,3233867,27120,4042334,4738,4042334,22312,1925,1359,737,1223,921,2478,2497,1537,
00:29:46 12/17/25,82875,44000,92625,55120,61229,40980,81076,48608,80381,41965,92007,50263,60196,41030,81224,48333,68455,41442,86951,49207,59265,40920,78570,47870,70527,41317,83218,48940,58492,40892,74349,47625,65829,41369,79594,48417,8104,3233867,3406,3233867,5755,4042334,1840,3233867,12019,4042334,32376,4042334,8885,3233867,12800,3233867,34414,2265,4509,1799,1598,1950,4152,2570,2916,
00:29:57 12/17/25,85375,44000,92625,55290,64970,40980,81076,48674,72872,41965,92007,50379,59554,41030,81224,48398,61722,41442,86951,49300,61305,40920,78570,47946,62883,41317,83218,49040,58148,40892,74349,47692,58170,41369,79594,48496,8230,3233867,8230,4042334,7461,3233867,17457,3233867,22071,3233867,15151,3233867,12844,4042334,5872,3233867,29095,3251,3226,1456,714,3155,2512,2064,1200,
00:30:07 12/17/25,73250,44000,92625,55436,53413,40980,81076,48721,56465,41965,92007,50448,53717,41030,81224,48446,55655,41442,86951,49368,57157,40920,78570,48021,58272,41317,83218,49113,54058,40892,74349,47743,56254,41369,79594,48554,1215,3233867,1215,4042334,1215,3233867,216,4042334,4342,4042334,3586,4042334,2588,4042334,2051,4042334,18520,751,567,627,488,2737,2097,1441,1334,
00:30:17 12/17/25,67375,44000,92625,55524,53880,40980,81076,48755,59680,41965,92007,50496,53442,41030,81224,48478,57052,41442,86951,49411,55754,40920,78570,48066,56912,41317,83218,49168,51883,40892,74349,47779,57248,41369,79594,48601,3322,4042334,6288,4042334,2575,4042334,3370,4042334,2599,4042334,2599,4042334,3370,3233867,1829,3233867,21043,1139,1425,859,1153,2440,1411,877,2122,
00:30:27 12/17/25,64875,44000,92625,55603,47097,40980,81076,48772,49100,41965,92007,50534,47174,41030,81224,48502,48199,41442,86951,49444,46792,40920,78570,48099,47858,41317,83218,49203,46501,40892,74349,47800,47669,41369,79594,48628,606,3233867,8305,4042334,5153,3233867,606,3233867,4365,3233867,2001,3233867,2001,3233867,0,3233867,15551,237,406,389,268,176,230,180,224,
00:30:37 12/17/25,63125,44000,92625,55636,45525,40980,81076,48760,49210,41965,92007,50531,45714,41030,81224,48492,49988,41442,86951,49438,46385,40920,78570,48089,61371,41317,83218,49203,45496,40892,74349,47789,49500,41369,79594,48621,268,3233867,6398,4042334,14407,3233867,4855,3233867,942,3233867,16595,4042334,12644,4042334,218,3233867,18872,127,311,173,148,497,4912,290,198,
00:30:47 12/17/25,71125,44000,92625,55686,63198,40980,81076,48760,59921,41965,92007,50538,54852,41030,81224,48490,52440,41442,86951,49441,48884,40920,78570,48082,50421,41317,83218,49211,48225,40892,74349,47782,49119,41369,79594,48618,2017,3233867,12789,4042334,15097,4042334,2016,3233867,477,4042334,36638,4042334,477,4042334,3554,3233867,25950,4400,2219,1890,591,416,626,905,459,
00:30:57 12/17/25,76000,44000,92625,55816,54085,40980,81076,48784,50090,41965,92007,50587,48761,41030,81224,48509,49629,41442,86951,49478,47891,40920,78570,48093,50908,41317,83218,49270,50540,40892,74349,47793,58973,41369,79594,48653,4843,4042334,1196,3233867,200,3233867,2710,3233867,970,3233867,27361,3233867,17381,4042334,225,3233867,16411,1719,158,142,85,36,106,1345,2978,
00:31:07 12/17/25,74125,44000,92625,55932,52513,40980,81076,48798,55020,41965,92007,50616,49435,41030,81224,48513,54774,41442,86951,49504,48244,40920,78570,48103,68670,41317,83218,49336,48288,40892,74349,47837,53595,41369,79594,48674,10727,3233867,720,4042334,1440,3233867,0,4042334,0,4042334,745,4042334,4612,3233867,34006,4042334,17157,1083,652,262,205,69,5986,411,246,
00:31:17 12/17/25,76000,44000,92625,56051,51861,40980,81076,48825,56102,41965,92007,50660,52515,41030,81224,48556,56536,41442,86951,49545,52109,40920,78570,48126,66878,41317,83218,49393,50177,40892,74349,47869,57418,41369,79594,48718,1649,3233867,5541,4042334,1649,3233867,3984,3233867,11768,3233867,7876,3233867,28891,3233867,816,3233867,24369,577,615,867,419,859,4815,389,1132,
00:31:27 12/17/25,66000,44000,92625,56127,47571,40980,81076,48824,53564,41965,92007,50666,48165,41030,81224,48555,51182,41442,86951,49548,47314,40920,78570,48129,52800,41317,83218,49398,47277,40892,74349,47875,63829,41369,79594,48730,309,3233867,7354,3233867,1874,3233867,4223,4042334,1092,3233867,1874,3233867,309,3233867,1092,3233867,9378,213,988,482,310,214,426,401,5396,
00:31:37 12/17/25,55625,44000,92625,56156,44311,40980,81076,48806,45161,41965,92007,50644,44601,41030,81224,48546,45249,41442,86951,49530,44440,40920,78570,48114,44630,41317,83218,49378,43840,40892,74349,47857,44518,41369,79594,48713,1060,2919463,640,2335571,640,2335571,1420,2335571,320,2919463,1420,2919463,0,2335571,320,2335571,5111,223,155,311,324,290,136,130,162,
00:31:47 12/17/25,66250,44000,92625,56196,45555,40980,81076,48795,46611,41965,92007,50639,45226,41030,81224,48532,45970,41442,86951,49524,44752,40920,78570,48105,45861,41317,83218,49392,44655,40892,74349,47843,45699,41369,79594,48706,5468,1646876,6228,2919463,2452,2919463,1723,2335571,1723,2919463,1723,2335571,2483,2335571,1723,2335571,8698,327,215,250,167,109,217,119,252,
00:31:57 12/17/25,65375,44000,92625,56229,49709,40980,81076,48783,51864,41965,92007,50635,49073,41030,81224,48521,53002,41442,86951,49518,48848,40920,78570,48095,63310,41317,83218,49395,51365,40892,74349,47835,53005,41369,79594,48700,6096,4042334,6906,4042334,6906,4042334,11625,4042334,10052,4042334,33673,4042334,15657,4042334,7016,4042334,23306,653,256,364,252,217,4728,1570,535,
00:32:07 12/17/25,77875,44000,92625,56333,57202,40980,81076,48824,54657,41965,92007,50687,53077,41030,81224,48554,55009,41442,86951,49587,53521,40920,78570,48126,56051,41317,83218,49480,61621,40892,74349,47872,53413,41369,79594,48742,3320,3213905,21201,4017381,6713,4017381,988,3213905,988,4017381,14159,4017381,4075,3213905,7963,4017381,18131,1491,211,269,525,239,1094,3597,277,
00:32:17 12/17/25,70875,44000,92625,56456,50886,40980,81076,48844,50525,41965,92007,50727,48889,41030,81224,48577,49832,41442,86951,49613,48424,40920,78570,48141,50284,41317,83218,49515,48166,40892,74349,47896,49392,41369,79594,48770,4256,2335571,1376,2919463,1964,2335571,1176,2335571,1940,2919463,3468,2919463,1176,2919463,1940,2919463,7222,941,367,298,287,319,650,322,330,
00:32:27 12/17/25,63375,44000,92625,56518,45186,40980,81076,48836,46318,41965,92007,50727,45306,41030,81224,48572,46222,41442,86951,49618,45067,40920,78570,48135,47078,41317,83218,49519,44983,40892,74349,47892,46137,41369,79594,48769,500,2335571,0,2335571,2555,2335571,2555,2335571,500,2335571,2055,2335571,1778,2335571,500,2335571,7567,145,116,157,125,96,614,99,165,
00:32:37 12/17/25,55250,44000,92625,56523,45854,40980,81076,48816,49443,41965,92007,50705,46091,41030,81224,48553,47923,41442,86951,49598,45761,40920,78570,48117,48069,41317,83218,49499,45695,40892,74349,47874,46653,41369,79594,48751,182,2335571,965,2919463,1749,2335571,182,2335571,965,2335571,182,2335571,182,2335571,965,2335571,7102,426,746,559,478,516,865,594,439,
00:32:47 12/17/25,72250,44000,92625,56571,50713,40980,81076,48813,60124,41965,92007,50736,52798,41030,81224,48559,55287,41442,86951,49609,51137,40920,78570,48116,52156,41317,83218,49502,50898,40892,74349,47874,50672,41369,79594,48750,2633,2335571,3403,2335571,2633,2335571,1092,2335571,2633,2335571,321,2335571,5668,2919463,1094,2919463,9767,651,1827,1513,1198,905,658,1291,554,
00:32:57 12/17/25,63750,44000,92625,56623,47476,40980,81076,48811,48653,41965,92007,50736,47563,41030,81224,48560,48172,41442,86951,49610,47196,40920,78570,48116,47981,41317,83218,49505,47042,40892,74349,47877,47685,41369,79594,48751,946,2335571,3261,2919463,1718,2335571,175,2335571,946,2335571,946,2335571,75,2919463,75,2335571,6270,224,267,268,224,85,236,109,133,
00:33:07 12/17/25,66875,44000,92625,56693,47766,40980,81076,48815,49506,41965,92007,50759,48614,41030,81224,48571,48856,41442,86951,49626,47466,40920,78570,48120,48653,41317,83218,49512,47258,40892,74349,47880,48377,41369,79594,48758,153,2335571,1921,2919463,304,2335571,0,2919463,304,2335571,304,2335571,304,2919463,152,2335571,5345,167,242,509,189,123,231,154,177,
00:33:17 12/17/25,74000,44000,92625,56778,57447,40980,81076,48830,58079,41965,92007,50791,50945,41030,81224,48585,53175,41442,86951,49647,49278,40920,78570,48145,53821,41317,83218,49551,48561,40892,74349,47911,50549,41369,79594,48777,0,2415419,0,3019274,3913,2375495,822,2375495,822,2375495,49,2375495,822,2969369,49,2375495,6575,2423,1418,305,280,95,1286,175,175,
00:33:27 12/17/25,62875,44000,92625,56839,45929,40980,81076,48831,47115,41965,92007,50786,45982,41030,81224,48583,46865,41442,86951,49647,45846,40920,78570,48141,46784,41317,83218,49556,45740,40892,74349,47908,46588,41369,79594,48778,369,2919463,369,2919463,369,2919463,342,2919463,0,2919463,369,2919463,739,2335571,1149,2335571,6321,186,146,139,227,130,239,164,193,
00:33:37 12/17/25,72375,44000,92625,56888,50940,40980,81076,48832,52758,41965,92007,50799,54622,41030,81224,48586,51909,41442,86951,49677,49622,40920,78570,48145,52721,41317,83218,49568,49938,40892,74349,47907,57818,41369,79594,48787,0,3233867,2185,3233867,6929,3233867,1507,3233867,0,3233867,0,4042334,1418,4042334,0,3233867,8969,679,582,2318,533,363,620,1045,3108,
00:33:47 12/17/25,63000,44000,92625,56951,45430,40980,81076,48820,47406,41965,92007,50800,45208,41030,81224,48575,48436,41442,86951,49671,45162,40920,78570,48140,46545,41317,83218,49559,44948,40892,74349,47897,46039,41369,79594,48779,2662,1916365,1146,3318706,1890,2654965,3430,3318706,2660,3318706,1890,2495268,1119,2495268,4971,2495268,8036,349,269,218,1111,307,359,289,333,
00:33:57 12/17/25,55625,44000,92625,56956,44590,40980,81076,48801,46738,41965,92007,50780,44717,41030,81224,48557,46120,41442,86951,49655,44647,40920,78570,48123,46578,41317,83218,49542,44477,40892,74349,47881,45862,41369,79594,48764,2136,3233867,1461,4042334,23495,3233867,8431,4042334,4496,3233867,3822,3233867,699,3233867,4632,3233867,19007,242,475,238,401,273,649,282,438,
00:34:07 12/17/25,58875,44000,92625,56971,46678,40980,81076,48803,47773,41965,92007,50786,46535,41030,81224,48563,47618,41442,86951,49664,46254,40920,78570,48128,48427,41317,83218,49548,46134,40892,74349,47882,53089,41369,79594,48773,1069,3233867,9572,3233867,4207,3233867,14221,3233867,2666,3233867,4977,4042334,1896,3233867,4977,3233867,14571,262,112,115,157,65,158,81,2410,
00:34:17 12/17/25,54375,44000,92625,56972,46071,40980,81076,48790,46721,41965,92007,50771,46264,41030,81224,48553,46651,41442,86951,49654,46338,40920,78570,48119,46590,41317,83218,49537,46969,40892,74349,47874,46544,41369,79594,48765,2064,2335571,484,2919463,484,2919463,0,2919463,513,2335571,1816,2335571,3395,2335571,513,2335571,4287,125,162,79,176,132,181,473,140,
00:34:27 12/17/25,53375,44000,92625,56958,46258,40980,81076,48777,47156,41965,92007,50755,46298,41030,81224,48541,46644,41442,86951,49641,46033,40920,78570,48109,46586,41317,83218,49523,45930,40892,74349,47865,46284,41369,79594,48754,1589,2335571,2362,2919463,44,2919463,866,2335571,1639,2919463,94,2335571,1639,2335571,94,2335571,5819,233,268,219,171,104,239,126,127,
00:34:37 12/17/25,60250,44000,92625,56983,47907,40980,81076,48777,48833,41965,92007,50750,47933,41030,81224,48542,48419,41442,86951,49637,47594,40920,78570,48111,48083,41317,83218,49519,47336,40892,74349,47876,47919,41369,79594,48754,843,2335571,1596,2919463,5466,2335571,1571,2335571,0,2335571,793,2335571,0,2335571,0,2919463,7303,320,258,311,294,213,241,206,237,
00:34:47 12/17/25,66875,44000,92625,57035,46972,40980,81076,48782,47998,41965,92007,50761,47080,41030,81224,48548,48175,41442,86951,49654,47049,40920,78570,48125,47646,41317,83218,49535,47181,40892,74349,47892,47743,41369,79594,48766,3882,2919463,863,2335571,2385,2919463,2385,2335571,2385,2335571,2385,2335571,2385,2335571,1572,2335571,5750,131,117,116,332,127,150,253,236,
00:34:57 12/17/25,55875,44000,92625,57052,44601,40980,81076,48768,45356,41965,92007,50746,44604,41030,81224,48536,45182,41442,86951,49643,44563,40920,78570,48115,45073,41317,83218,49523,44509,40892,74349,47882,45024,41369,79594,48756,2853,1976252,2090,2335571,3615,2335571,2039,2335571,1276,2919463,2039,2335571,2087,2335571,1374,2335571,6017,155,107,86,184,104,142,86,130,
00:35:07 12/17/25,51750,44000,92625,57031,44159,40980,81076,48748,45005,41965,92007,50719,44236,41030,81224,48517,45377,41442,86951,49621,44546,40920,78570,48097,44705,41317,83218,49501,44091,40892,74349,47864,44609,41369,79594,48736,2189,3233867,603,3233867,1358,3233867,13848,3233867,5261,4042334,578,4042334,628,4042334,314,4042334,9434,148,133,80,379,297,148,118,183,
00:35:17 12/17/25,52000,44000,92625,57014,44825,40980,81076,48731,45348,41965,92007,50697,44852,41030,81224,48501,45167,41442,86951,49605,44793,40920,78570,48087,45197,41317,83218,49485,44747,40892,74349,47851,45130,41369,79594,48721,1771,3233867,2555,4042334,1771,3233867,987,4042334,102,3233867,177,3233867,1719,3233867,935,3233867,6357,164,100,70,105,71,137,107,110,
00:35:27 12/17/25,51375,44000,92625,56987,45563,40980,81076,48715,46210,41965,92007,50675,45701,41030,81224,48487,46121,41442,86951,49588,45996,40920,78570,48073,46336,41317,83218,49468,45865,40892,74349,47838,46028,41369,79594,48707,0,2694889,0,2694889,0,3717949,891,3717949,458,2974359,458,2974359,458,3717949,458,3717949,5670,124,107,80,170,215,268,234,162,
00:35:37 12/17/25,51500,44000,92625,56960,45668,40980,81076,48700,46104,41965,92007,50655,45745,41030,81224,48474,46013,41442,86951,49572,45703,40920,78570,48062,46096,41317,83218,49454,45663,40892,74349,47828,45957,41369,79594,48695,2258,4042334,2271,4042334,1471,4042334,2232,4042334,4541,3233867,4541,4042334,747,3233867,1495,3233867,7496,123,109,62,114,68,200,91,102,
00:35:47 12/17/25,53250,44000,92625,56939,46911,40980,81076,48689,47921,41965,92007,50640,47021,41030,81224,48465,47294,41442,86951,49560,46595,40920,78570,48054,47041,41317,83218,49443,46522,40892,74349,47820,46865,41369,79594,48685,789,2919463,6152,2335571,2285,2919463,2285,2335571,2285,2335571,2302,2335571,1512,2335571,1565,2335571,6454,241,320,273,190,73,183,172,165,
00:35:57 12/17/25,69000,44000,92625,56975,52042,40980,81076,48707,55267,41965,92007,50670,53685,41030,81224,48483,53312,41442,86951,49582,52058,40920,78570,48069,52653,41317,83218,49460,51219,40892,74349,47834,52478,41369,79594,48704,8614,3233867,1606,3233867,1971,3233867,5499,4042334,828,3233867,3164,4042334,5499,3233867,1606,4042334,14041,524,929,1267,557,719,551,675,678,
00:36:07 12/17/25,71375,44000,92625,57047,50137,40980,81076,48735,51156,41965,92007,50704,50492,41030,81224,48508,50708,41442,86951,49611,49682,40920,78570,48093,50649,41317,83218,49490,49852,40892,74349,47859,50278,41369,79594,48733,3213,2919463,1669,2919463,5529,2919463,3320,2335571,3319,2335571,888,2919463,1777,2335571,4862,2335571,8971,298,284,492,238,143,353,380,257,
00:36:17 12/17/25,81500,44000,92625,57127,55498,40980,81076,48757,68504,41965,92007,50756,53739,41030,81224,48531,58683,41442,86951,49650,52619,40920,78570,48113,57127,41317,83218,49542,54606,40892,74349,47878,55641,41369,79594,48766,0,3233867,2145,3233867,1466,3233867,2252,3233867,679,3233867,35192,4042334,0,4042334,14018,4042334,18722,1333,2793,822,728,391,1250,1853,934,
00:36:27 12/17/25,73375,44000,92625,57232,65690,40980,81076,48791,51435,41965,92007,50785,51576,41030,81224,48551,50414,41442,86951,49676,49127,40920,78570,48129,49631,41317,83218,49585,49775,40892,74349,47904,48870,41369,79594,48798,3395,2335571,2624,2919463,262,2335571,262,2919463,262,2919463,3346,2335571,4888,2335571,3346,2335571,6947,5070,311,130,277,154,321,862,150,
00:36:37 12/17/25,56750,44000,92625,57263,43677,40980,81076,48774,44694,41965,92007,50764,43687,41030,81224,48534,44626,41442,86951,49659,43657,40920,78570,48115,44422,41317,83218,49569,43727,40892,74349,47890,44328,41369,79594,48784,2384,3233867,789,3233867,33,3233867,67,3233867,1612,3233867,7020,4042334,2385,4042334,839,3233867,6243,106,121,40,236,69,164,148,108,
00:36:47 12/17/25,51000,44000,92625,57246,41897,40980,81076,48748,42824,41965,92007,50736,41982,41030,81224,48509,42593,41442,86951,49634,41912,40920,78570,48091,42674,41317,83218,49543,41923,40892,74349,47867,42536,41369,79594,48761,1474,2919463,0,2919463,713,2919463,1500,2335571,3786,2335571,2188,2335571,0,2335571,1376,2335571,6427,135,81,70,94,42,229,91,84,
00:36:57 12/17/25,49500,44000,92625,57208,42279,40980,81076,48715,43455,41965,92007,50698,42306,41030,81224,48479,43938,41442,86951,49601,42253,40920,78570,48061,43026,41317,83218,49510,42315,40892,74349,47838,42742,41369,79594,48731,899,2919463,899,2919463,3270,2919463,243,2919463,1785,2335571,3327,2335571,1785,2335571,243,2335571,5300,257,216,105,441,70,199,218,125,
00:37:07 12/17/25,62750,44000,92625,57218,47695,40980,81076,48704,45796,41965,92007,50690,45569,41030,81224,48464,45232,41442,86951,49588,44800,40920,78570,48048,45157,41317,83218,49499,44664,40892,74349,47830,45108,41369,79594,48718,6063,2335571,9918,2335571,9157,2335571,14485,2335571,6112,2919463,9157,2335571,8303,2335571,6017,2335571,14587,818,173,209,93,74,135,120,166,
00:37:17 12/17/25,58125,44000,92625,57231,46493,40980,81076,48694,47376,41965,92007,50679,46506,41030,81224,48455,46749,41442,86951,49581,45998,40920,78570,48038,46980,41317,83218,49492,46050,40892,74349,47820,46471,41369,79594,48710,2792,2395457,2016,2395457,2016,1916365,3567,3233867,4367,3233867,2066,3233867,1291,4042334,1291,3233867,9434,289,307,316,138,124,358,269,179,
00:37:27 12/17/25,77125,44000,92625,57287,50099,40980,81076,48710,53350,41965,92007,50698,50656,41030,81224,48472,51554,41442,86951,49591,49681,40920,78570,48044,51559,41317,83218,49511,50062,40892,74349,47824,52207,41369,79594,48722,3839,2919463,692,2919463,2983,2919463,0,2919463,3008,2335571,718,2335571,0,2335571,661,2335571,11029,381,687,590,317,196,490,502,785,
00:37:37 12/17/25,60000,44000,92625,57333,47354,40980,81076,48708,47686,41965,92007,50691,47548,41030,81224,48472,47617,41442,86951,49588,47384,40920,78570,48046,47574,41317,83218,49508,47279,40892,74349,47826,47566,41369,79594,48721,2105,1646876,2886,2919463,3667,2919463,1324,2335571,1052,2335571,2834,2335571,4346,2335571,1219,2335571,7563,201,146,105,125,145,95,108,80,
00:37:47 12/17/25,55250,44000,92625,57331,47718,40980,81076,48704,48776,41965,92007,50681,47667,41030,81224,48470,48844,41442,86951,49583,47575,40920,78570,48046,48097,41317,83218,49503,47463,40892,74349,47826,48169,41369,79594,48718,113,2919463,923,2919463,923,2335571,2491,2919463,923,2335571,69,2335571,139,2335571,923,2335571,5935,219,209,109,376,135,115,106,209,
00:37:57 12/17/25,67500,44000,92625,57333,52635,40980,81076,48707,65045,41965,92007,50693,54687,41030,81224,48477,57436,41442,86951,49591,52397,40920,78570,48052,53003,41317,83218,49506,50234,40892,74349,47830,51939,41369,79594,48721,2478,3233867,4034,3233867,2017,3233867,1725,3233867,2477,3233867,2477,4042334,1238,4042334,2477,3233867,17749,510,3080,1721,1257,921,247,133,342,
