[WIN] 2025-12-18 16:31:24 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 67.69% | Disk: 95.64%
[WIN] 2025-12-18 16:31:29 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 67.69% | Disk: 95.64%
[WIN] 2025-12-18 16:31:33 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 67.47% | Disk: 95.64%
[WIN] 2025-12-18 16:31:38 | CPU: 2.31% | Temp: N/A | GPU: 0.00% | Mem: 67.49% | Disk: 95.64%
[WIN] 2025-12-18 16:31:43 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 67.02% | Disk: 95.64%
[WIN] 2025-12-18 16:31:47 | CPU: 1.16% | Temp: N/A | GPU: 0.00% | Mem: 67.11% | Disk: 95.64%
[WIN] 2025-12-18 16:31:52 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 67.31% | Disk: 95.64%
[WIN] 2025-12-18 16:31:56 | CPU: 2.94% | Temp: N/A | GPU: 0.00% | Mem: 66.99% | Disk: 95.64%
[WIN] 2025-12-18 16:32:01 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 66.61% | Disk: 95.64%
[WIN] 2025-12-18 16:32:05 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 65.90% | Disk: 95.64%
[WIN] 2025-12-18 16:32:10 | CPU: 2.40% | Temp: N/A | GPU: 0.00% | Mem: 66.15% | Disk: 95.64%
[WIN] 2025-12-18 16:32:14 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 65.90% | Disk: 95.64%
[WIN] 2025-12-18 16:32:19 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 66.30% | Disk: 95.64%
[WIN] 2025-12-18 16:32:23 | CPU: 2.37% | Temp: N/A | GPU: 0.00% | Mem: 65.97% | Disk: 95.64%
[WIN] 2025-12-18 16:32:28 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 66.01% | Disk: 95.64%
[WIN] 2025-12-18 16:32:32 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 65.99% | Disk: 95.64%
[WIN] 2025-12-18 16:32:36 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 65.82% | Disk: 95.64%
[WIN] 2025-12-18 16:32:41 | CPU: 4.14% | Temp: N/A | GPU: 0.00% | Mem: 65.92% | Disk: 95.64%
[WIN] 2025-12-18 16:32:45 | CPU: 4.12% | Temp: N/A | GPU: 0.00% | Mem: 65.98% | Disk: 95.64%
[WIN] 2025-12-18 16:32:50 | CPU: 2.94% | Temp: N/A | GPU: 0.00% | Mem: 66.28% | Disk: 95.64%
[WIN] 2025-12-18 16:32:54 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 66.03% | Disk: 95.64%
[WIN] 2025-12-18 16:32:59 | CPU: 2.35% | Temp: N/A | GPU: 0.00% | Mem: 66.31% | Disk: 95.65%
[WIN] 2025-12-18 16:33:03 | CPU: 2.38% | Temp:  | GPU: 0.00% | Mem: 66.00% | Disk: 95.65%
[WIN] 2025-12-18 16:33:08 | CPU: 1.79% | Temp:  | GPU: 0.00% | Mem: 65.99% | Disk: 95.65%
[WIN] 2025-12-18 16:33:12 | CPU: 1.79% | Temp:  | GPU: 0.00% | Mem: 65.83% | Disk: 95.65%
[WIN] 2025-12-18 16:33:17 | CPU: 2.35% | Temp:  | GPU: 0.00% | Mem: 65.78% | Disk: 95.65%
[WIN] 2025-12-18 16:33:21 | CPU: 2.31% | Temp:  | GPU: 0.00% | Mem: 65.71% | Disk: 95.65%
[WIN] 2025-12-18 16:33:26 | CPU: 1.20% | Temp:  | GPU: 0.00% | Mem: 65.75% | Disk: 95.65%
[WIN] 2025-12-18 16:33:30 | CPU: 2.98% | Temp:  | GPU: 0.00% | Mem: 65.93% | Disk: 95.65%
